condition,group,scale,anisotropy_level,shift_level,image_id,rgb,rot_err_deg,trans_err_mm,add_mm,reproj_official_px,flip_gt_90,flip_gt_120,flip_gt_150,flip_gt_170,J_gt_px,J_pred_px,delta_J_px,res_rms_px,res_meannorm_px,res_coherent_px,res_lambda_max,res_lambda_min,res_anisotropy,res_max_px,res_median_px,kp_err_median_px,flag_solver_divergence,flag_catastrophic_kp,flag_pnp_exception,in_clean18
C2_D1_real,control,,n/a,n/a,22,color_00026.png,161.5427,1414.67,1416.4526,40072.2679,1,1,1,0,11.643346,2001.281857,-1989.638511,14.711079,11.643350,9.500222,98.750276,27.411335,3.6025,29.7051,7.6994,7.6994,1,0,0,0
C2_D1_real,control,,n/a,n/a,23,color_00027.png,108.9261,1432.00,1432.4097,2828.7046,1,0,0,0,479.639920,589.725805,-110.085885,480.021839,479.639916,479.441975,373.635693,182.722304,2.0448,508.9932,478.4301,478.4301,1,1,0,0
C2_D1_real,control,,n/a,n/a,24,color_00028.png,171.5912,2624.59,2625.9361,6.1694,1,1,1,1,6.999791,2.316546,4.683246,7.731074,6.999795,4.737545,32.020980,5.304191,6.0369,11.6600,8.4525,8.4525,0,0,0,1
C2_D1_real,control,,n/a,n/a,25,color_00029.png,10.4126,130.82,130.8920,3.9937,0,0,0,0,4.351412,0.599692,3.751720,4.968860,4.351411,2.892405,14.481295,1.842273,7.8606,9.5189,3.7811,3.7811,0,0,0,1
C2_D1_real,control,,n/a,n/a,26,color_00030.png,6.9669,86.25,86.3061,2.5197,0,0,0,0,2.699018,0.773196,1.925823,3.243773,2.699019,1.722819,6.869964,0.683992,10.0439,7.4257,2.1596,2.1596,0,0,0,1
C2_D1_real,control,,n/a,n/a,27,color_00031.png,6.9970,48.82,48.9335,2.0468,0,0,0,0,2.316201,0.740319,1.575883,2.698829,2.316202,1.185961,5.039543,0.837632,6.0164,5.5375,1.9012,1.9012,0,0,0,1
C2_D1_real,control,,n/a,n/a,28,color_00032.png,6.1027,15.23,15.6194,2.0192,0,0,0,0,2.190562,0.675423,1.515140,2.527130,2.190560,1.515573,3.388998,0.700423,4.8385,4.8138,2.0800,2.0800,0,0,0,1
C2_D1_real,control,,n/a,n/a,29,color_00033.png,177.9822,2525.22,2526.5229,1.5092,1,1,1,1,1.648540,0.868715,0.779825,1.978532,1.648537,0.766769,2.552177,0.774478,3.2954,3.5779,1.0884,1.0884,0,0,0,1
C2_D1_real,control,,n/a,n/a,30,color_00034.png,5.7465,24.83,25.0003,1.3810,0,0,0,0,1.660202,0.593862,1.066341,2.016573,1.660202,0.515586,3.562138,0.238600,14.9293,3.9726,1.1049,1.1049,0,0,0,1
C2_D1_real,control,,n/a,n/a,31,color_00035.png,176.5324,2581.22,2582.5518,2.6002,1,1,1,1,2.727633,0.843347,1.884287,3.023454,2.727638,2.189985,3.016367,1.328873,2.2699,5.8501,2.7199,2.7199,0,0,0,1
C2_D1_real,control,,n/a,n/a,32,color_00036.png,3.8590,38.14,38.1935,1.6223,0,0,0,0,1.812938,0.750633,1.062305,2.118135,1.812942,1.302965,2.240048,0.548730,4.0822,4.7590,1.4652,1.4652,0,0,0,1
