condition,image_id,rgb,keypoint_mean_error_px,keypoint_median_error_px,keypoint_p90_error_px,rotation_error_deg,translation_error_mm,add_mm,add_pass,mean_reprojection_error_px,median_reprojection_error_px,flip_gt_90,flip_gt_120,flip_gt_150,flip_gt_170,pnp_ok
C4_D1_noise,26,color_00030.png,3.0674,2.2551,5.6369,177.8877,2527.56,2528.9440,0,2.7814,2.4685,1,1,1,1,1
C4_D1_noise,27,color_00031.png,2.1398,1.5619,3.8370,176.9134,2506.72,2508.0682,0,1.7813,1.7448,1,1,1,1,1
C4_D1_noise,28,color_00032.png,2.5399,2.1894,4.2300,176.8764,2468.68,2470.0214,0,2.0787,2.0648,1,1,1,1,1
C4_D1_noise,29,color_00033.png,1.6330,1.3523,2.8437,178.2454,2477.76,2479.0686,0,1.5424,1.4944,1,1,1,1,1
C4_D1_noise,30,color_00034.png,2.0205,1.5223,3.4494,6.7691,13.00,13.5180,1,1.5157,1.4302,0,0,0,0,1
C4_D1_noise,31,color_00035.png,3.1387,2.6544,4.8189,176.7074,2565.80,2567.1452,0,3.1634,3.0359,1,1,1,1,1
C4_D1_noise,32,color_00036.png,1.7683,1.3520,3.3389,177.7916,2471.00,2472.3375,0,1.3959,1.3370,1,1,1,1,1
C4_D1_noise,33,color_00037.png,1.2479,1.2922,1.5898,180.0000,2431.03,2432.3203,0,1.1618,1.1278,1,1,1,1,1
C4_D1_noise,34,color_00038.png,2.3305,2.2222,4.0422,179.2915,2397.80,2399.0378,0,1.5530,1.3587,1,1,1,1,1
C4_D1_noise,35,color_00039.png,2.3016,2.5790,2.9712,177.9532,2363.00,2364.2233,0,1.5289,1.5207,1,1,1,1,1
C4_D1_noise,36,color_00040.png,2.1383,2.1892,3.1024,179.2781,2394.78,2396.0100,0,1.5099,1.3102,1,1,1,1,1
C4_D1_noise,37,color_00041.png,1.6668,1.8228,2.3292,180.0000,2576.02,2577.1950,0,1.5282,1.4813,1,1,1,1,1
C4_D1_noise,38,color_00042.png,2.2181,2.1761,3.2777,180.0000,2581.02,2582.2400,0,1.8541,1.7553,1,1,1,1,1
C4_D1_noise,39,color_00043.png,1.6323,1.5295,2.7269,180.0000,2563.99,2565.2345,0,1.3021,1.3249,1,1,1,1,1
