condition,group,sigma,image_id,rgb,rot_err_deg,trans_err_mm,add_mm,reproj_official_px,flip_gt_90,flip_gt_120,flip_gt_150,flip_gt_170,J_gt_px,J_pred_px,delta_J_px,res_rms_px,res_meannorm_px,res_coherent_px,res_median_px,res_p90_px,kp_err_median_px,flag_solver_divergence,flag_catastrophic_kp,flag_pnp_exception,in_clean18
C2_D1_real,control,,20,color_00024.png,165.5574,3383.09,3384.2266,13.2017,1,1,1,0,15.991409,6.394991,9.596418,17.658430,15.991414,12.775219,16.2163,25.0265,16.2163,0,0,0,1
C2_D1_real,control,,21,color_00025.png,147.4644,1012.62,1013.2905,400.2365,1,1,0,0,398.068348,3.802835,394.265513,399.564555,398.068348,397.610833,391.1811,448.9236,391.1811,1,1,0,1
C2_D1_real,control,,22,color_00026.png,161.5427,1414.67,1416.4526,40072.2679,1,1,1,0,11.643346,2001.281857,-1989.638511,14.711079,11.643350,9.500222,7.6994,22.8262,7.6994,1,0,0,0
C2_D1_real,control,,23,color_00027.png,108.9261,1432.00,1432.4097,2828.7046,1,0,0,0,479.639920,589.725805,-110.085885,480.021839,479.639916,479.441975,478.4301,503.2721,478.4301,1,1,0,0
C2_D1_real,control,,24,color_00028.png,171.5912,2624.59,2625.9361,6.1694,1,1,1,1,6.999791,2.316546,4.683246,7.731074,6.999795,4.737545,8.4525,10.1963,8.4525,0,0,0,1
C2_D1_real,control,,25,color_00029.png,10.4126,130.82,130.8920,3.9937,0,0,0,0,4.351412,0.599692,3.751720,4.968860,4.351411,2.892405,3.7811,7.2095,3.7811,0,0,0,1
C2_D1_real,control,,26,color_00030.png,6.9669,86.25,86.3061,2.5197,0,0,0,0,2.699018,0.773196,1.925823,3.243773,2.699019,1.722819,2.1596,4.2709,2.1596,0,0,0,1
C2_D1_real,control,,27,color_00031.png,6.9970,48.82,48.9335,2.0468,0,0,0,0,2.316201,0.740319,1.575883,2.698829,2.316202,1.185961,1.9012,4.1811,1.9012,0,0,0,1
C2_D1_real,control,,28,color_00032.png,6.1027,15.23,15.6194,2.0192,0,0,0,0,2.190562,0.675423,1.515140,2.527130,2.190560,1.515573,2.0800,3.8265,2.0800,0,0,0,1
C2_D1_real,control,,29,color_00033.png,177.9822,2525.22,2526.5229,1.5092,1,1,1,1,1.648540,0.868715,0.779825,1.978532,1.648537,0.766769,1.0884,3.3707,1.0884,0,0,0,1
