dataset,image_id,method,keypoint_id,error_px
occ,22,D1,5,21.1065
occ,22,D1,6,6.0076
occ,22,D1,7,7.9335
occ,22,D1,8,7.6994
occ,23,D0,0,508.9932
occ,23,D0,1,449.8846
occ,23,D0,2,475.1242
occ,23,D0,3,499.5545
occ,23,D0,4,464.5100
occ,23,D0,5,501.8418
occ,23,D0,6,479.0547
occ,23,D0,7,459.3661
occ,23,D0,8,478.4301
occ,23,D1,0,508.9932
occ,23,D1,1,449.8846
occ,23,D1,2,475.1242
occ,23,D1,3,499.5545
occ,23,D1,4,464.5100
occ,23,D1,5,501.8418
occ,23,D1,6,479.0547
occ,23,D1,7,459.3661
occ,23,D1,8,478.4301
occ,24,D0,0,10.3777
occ,24,D0,1,8.6686
occ,24,D0,2,2.5278
occ,24,D0,3,5.8072
occ,24,D0,4,0.9022
occ,24,D0,5,9.4497
occ,24,D0,6,7.7125
occ,24,D0,7,1.5505
occ,24,D0,8,4.7062
occ,24,D1,0,11.6600
occ,24,D1,1,8.6060
occ,24,D1,2,8.4525
occ,24,D1,3,3.8952
occ,24,D1,4,3.5773
occ,24,D1,5,9.8304
occ,24,D1,6,9.4456
occ,24,D1,7,1.0937
occ,24,D1,8,6.4375
occ,25,D0,0,4.6668
occ,25,D0,1,3.4823
occ,25,D0,2,6.9292
occ,25,D0,3,2.8607
occ,25,D0,4,4.9889
occ,25,D0,5,5.7802
occ,25,D0,6,6.5808
occ,25,D0,7,2.6609
occ,25,D0,8,1.3435
occ,25,D1,0,9.5189
occ,25,D1,1,3.7811
occ,25,D1,2,5.4892
occ,25,D1,3,2.7276
occ,25,D1,4,2.6682
occ,25,D1,5,6.6322
occ,25,D1,6,4.6609
occ,25,D1,7,1.6050
occ,25,D1,8,2.0797
occ,26,D0,0,1.6187
occ,26,D0,1,2.7493
occ,26,D0,2,4.0511
occ,26,D0,3,2.4212
occ,26,D0,4,4.2095
occ,26,D0,5,2.4243
occ,26,D0,6,2.9784
occ,26,D0,7,1.9446
occ,26,D0,8,0.1807
occ,26,D1,0,7.4257
occ,26,D1,1,2.6776
occ,26,D1,2,2.4473
occ,26,D1,3,2.1596
occ,26,D1,4,1.8362
occ,26,D1,5,3.4822
occ,26,D1,6,1.7607
occ,26,D1,7,1.1890
occ,26,D1,8,1.3129
occ,27,D0,0,0.5602
occ,27,D0,1,3.7059
occ,27,D0,2,2.5450
occ,27,D0,3,2.9221
occ,27,D0,4,4.2848
occ,27,D0,5,0.4868
occ,27,D0,6,0.7653
occ,27,D0,7,1.9856
occ,27,D0,8,1.8811
occ,27,D1,0,5.5375
occ,27,D1,1,3.8419
occ,27,D1,2,1.9012
occ,27,D1,3,0.9060
